Easting,Northing,z,SVF_hemi
705459.985,2715330.18,2462.803223,0.029
705464.985,2715330.18,2463.575684,0.04
705469.985,2715330.18,2465.276855,0.046
705474.985,2715330.18,2465.94043,0.045
705479.985,2715330.18,2466.31543,0.036
705484.985,2715330.18,2468.573975,0.036
705489.985,2715330.18,2470.086426,0.036
705494.985,2715330.18,2471.200195,0.027
705399.985,2715335.18,2457.670166,0.009
705404.985,2715335.18,2458.699463,0.009
705409.985,2715335.18,2459.794189,0.011
705414.985,2715335.18,2460.750732,0.014
705419.985,2715335.18,2461.594238,0.014
705424.985,2715335.18,2462.192871,0.015
705429.985,2715335.18,2462.850342,0.014
705434.985,2715335.18,2463.004883,0.009
705439.985,2715335.18,2462.983887,0.007
705444.985,2715335.18,2462.217529,0.007
705449.985,2715335.18,2461.809814,0.013
705454.985,2715335.18,2462.022217,0.025
705459.985,2715335.18,2461.851318,0.029
705464.985,2715335.18,2462.517334,0.035
705469.985,2715335.18,2463.997559,0.039
705474.985,2715335.18,2465.015625,0.038
705479.985,2715335.18,2466.169189,0.035
705484.985,2715335.18,2467.655518,0.041
705489.985,2715335.18,2469.894775,0.036
705494.985,2715335.18,2471.572021,0.031
705399.985,2715340.18,2457.232666,0.006
705404.985,2715340.18,2458.349854,0.007
705409.985,2715340.18,2459.687012,0.007
705414.985,2715340.18,2460.63623,0.008
705419.985,2715340.18,2460.777344,0.009
705424.985,2715340.18,2461.506592,0.012
705429.985,2715340.18,2461.459229,0.012
705434.985,2715340.18,2462.302734,0.007
705439.985,2715340.18,2462.275879,0.005
705444.985,2715340.18,2461.58667,0.009
705449.985,2715340.18,2462.078857,0.012
705454.985,2715340.18,2461.655518,0.015
705459.985,2715340.18,2461.187988,0.017
705464.985,2715340.18,2462.605469,0.025
705469.985,2715340.18,2462.933838,0.028
705474.985,2715340.18,2464.213135,0.027
705479.985,2715340.18,2465.359619,0.036
705484.985,2715340.18,2466.907715,0.042
705489.985,2715340.18,2469.81958,0.032
705494.985,2715340.18,2471.220215,0.024
705399.985,2715345.18,2457.230469,0.009
705404.985,2715345.18,2457.836426,0.007
705409.985,2715345.18,2458.708252,0.006
705414.985,2715345.18,2459.411133,0.009
705419.985,2715345.18,2459.723145,0.009
705424.985,2715345.18,2460.997314,0.01
705429.985,2715345.18,2460.663574,0.01
705434.985,2715345.18,2461.585693,0.007
705439.985,2715345.18,2461.366211,0.006
705444.985,2715345.18,2460.850342,0.009
705449.985,2715345.18,2460.806152,0.013
705454.985,2715345.18,2460.394531,0.014
705459.985,2715345.18,2460.666504,0.015
705464.985,2715345.18,2461.327881,0.02
705469.985,2715345.18,2462.884033,0.025
705474.985,2715345.18,2463.787354,0.024
705479.985,2715345.18,2464.702637,0.031
705484.985,2715345.18,2465.611328,0.037
705489.985,2715345.18,2467.604736,0.028
705494.985,2715345.18,2469.772461,0.017
705399.985,2715350.18,2456.351318,0.01
705404.985,2715350.18,2456.898193,0.009
705409.985,2715350.18,2457.931152,0.009
705414.985,2715350.18,2458.35498,0.014
705419.985,2715350.18,2460.052734,0.015
705424.985,2715350.18,2460.047852,0.014
705429.985,2715350.18,2459.55127,0.012
705434.985,2715350.18,2460.634033,0.008
705439.985,2715350.18,2460.406494,0.007
705444.985,2715350.18,2460.566406,0.01
705449.985,2715350.18,2459.754395,0.013
705454.985,2715350.18,2459.996826,0.016
705459.985,2715350.18,2459.979736,0.014
705464.985,2715350.18,2460.468506,0.016
705469.985,2715350.18,2461.737549,0.025
705474.985,2715350.18,2463.094727,0.032
705479.985,2715350.18,2463.90332,0.031
705484.985,2715350.18,2464.76709,0.033
705489.985,2715350.18,2466.810791,0.023
705494.985,2715350.18,2468.408447,0.014
705399.985,2715355.18,2455.259766,0.011
705404.985,2715355.18,2455.826172,0.012
705409.985,2715355.18,2457.15918,0.014
705414.985,2715355.18,2457.425293,0.02
705419.985,2715355.18,2458.308838,0.02
705424.985,2715355.18,2459.178711,0.017
705429.985,2715355.18,2459.341064,0.013
705434.985,2715355.18,2459.585693,0.009
705439.985,2715355.18,2459.314697,0.008
705444.985,2715355.18,2459.901123,0.01
705449.985,2715355.18,2459.77417,0.011
705454.985,2715355.18,2459.566406,0.016
705459.985,2715355.18,2459.780762,0.018
705464.985,2715355.18,2460.245117,0.02
705469.985,2715355.18,2461.385254,0.026
705474.985,2715355.18,2462.412598,0.03
705479.985,2715355.18,2462.86084,0.034
705484.985,2715355.18,2463.906494,0.028
705489.985,2715355.18,2464.87207,0.017
705494.985,2715355.18,2466.631104,0.014
705399.985,2715360.18,2454.702393,0.013
705404.985,2715360.18,2454.718506,0.016
705409.985,2715360.18,2456.195313,0.018
705414.985,2715360.18,2457.380859,0.018
705419.985,2715360.18,2457.439453,0.017
705424.985,2715360.18,2457.44751,0.013
705429.985,2715360.18,2458.544434,0.01
705434.985,2715360.18,2458.262939,0.008
705439.985,2715360.18,2458.983398,0.009
705444.985,2715360.18,2459.155029,0.01
705449.985,2715360.18,2459.172119,0.014
705454.985,2715360.18,2459.064941,0.018
705459.985,2715360.18,2459.849854,0.016
705464.985,2715360.18,2460.071045,0.023
705469.985,2715360.18,2460.541016,0.023
705474.985,2715360.18,2461.424561,0.03
705479.985,2715360.18,2462.105469,0.034
705484.985,2715360.18,2463.005371,0.025
705489.985,2715360.18,2463.748291,0.017
705494.985,2715360.18,2465.152588,0.016
705399.985,2715365.18,2453.823975,0.02
705404.985,2715365.18,2454.399658,0.021
705409.985,2715365.18,2454.821045,0.023
705414.985,2715365.18,2455.856445,0.021
705419.985,2715365.18,2456.805664,0.016
705424.985,2715365.18,2456.867432,0.012
705429.985,2715365.18,2457.27832,0.009
705434.985,2715365.18,2457.729248,0.01
705439.985,2715365.18,2457.542969,0.011
705444.985,2715365.18,2457.894531,0.011
705449.985,2715365.18,2457.596924,0.01
705454.985,2715365.18,2458.213135,0.013
705459.985,2715365.18,2458.799805,0.019
705464.985,2715365.18,2459.766602,0.022
705469.985,2715365.18,2460.220947,0.02
705474.985,2715365.18,2461.003418,0.028
705479.985,2715365.18,2461.473389,0.035
705484.985,2715365.18,2461.947021,0.025
705489.985,2715365.18,2461.983154,0.015
705494.985,2715365.18,2463.438721,0.014
705399.985,2715370.18,2453.929688,0.032
705404.985,2715370.18,2454.444336,0.033
705409.985,2715370.18,2454.967529,0.029
705414.985,2715370.18,2455.638916,0.026
705419.985,2715370.18,2455.354004,0.019
705424.985,2715370.18,2456.227783,0.015
705429.985,2715370.18,2456.872803,0.013
705434.985,2715370.18,2456.978516,0.011
705439.985,2715370.18,2456.306152,0.011
705444.985,2715370.18,2457.212891,0.012
705449.985,2715370.18,2458.529297,0.013
705454.985,2715370.18,2458.42627,0.017
705459.985,2715370.18,2458.710205,0.019
705464.985,2715370.18,2459.114258,0.019
705469.985,2715370.18,2459.69873,0.02
705474.985,2715370.18,2460.267578,0.031
705479.985,2715370.18,2460.777344,0.04
705484.985,2715370.18,2461.520264,0.027
705489.985,2715370.18,2462.09375,0.018
705494.985,2715370.18,2462.792969,0.014
705399.985,2715375.18,2454.405029,0.043
705404.985,2715375.18,2454.73291,0.044
705409.985,2715375.18,2455.36377,0.04
705414.985,2715375.18,2455.303467,0.032
705419.985,2715375.18,2455.979004,0.026
705424.985,2715375.18,2455.985352,0.021
705429.985,2715375.18,2456.226074,0.017
705434.985,2715375.18,2455.738281,0.012
705439.985,2715375.18,2457.126709,0.011
705444.985,2715375.18,2457.179688,0.013
705449.985,2715375.18,2458.41748,0.017
705454.985,2715375.18,2457.613037,0.019
705459.985,2715375.18,2456.956543,0.019
705464.985,2715375.18,2457.402344,0.016
705469.985,2715375.18,2458.399414,0.017
705474.985,2715375.18,2459.770996,0.024
705479.985,2715375.18,2460.302734,0.03
705484.985,2715375.18,2460.636963,0.026
705489.985,2715375.18,2460.980957,0.02
705494.985,2715375.18,2462.266357,0.017
705399.985,2715380.18,2454.524658,0.041
705404.985,2715380.18,2454.246826,0.047
705409.985,2715380.18,2454.775635,0.047
705414.985,2715380.18,2455.008301,0.042
705419.985,2715380.18,2455.927002,0.031
705424.985,2715380.18,2455.914551,0.023
705429.985,2715380.18,2456.157471,0.019
705434.985,2715380.18,2454.863525,0.015
705439.985,2715380.18,2456.060303,0.011
705444.985,2715380.18,2455.993408,0.011
705449.985,2715380.18,2456.385254,0.013
705454.985,2715380.18,2458.063965,0.015
705459.985,2715380.18,2458.909668,0.017
705464.985,2715380.18,2458.340088,0.015
